config_key,T,m,sigma2_method,cbar_otimo,poder_no_otimo,se_poder,se_cbar,fallback_used,refined,inv_dev,cfg_seed,lambda1,lambda2,lambda3,lambda4,lambda5,mza_cv1,mza_cv1_se,mza_cv2_5,mza_cv2_5_se,mza_cv5,mza_cv5_se,mza_cv10,mza_cv10_se,msb_cv1,msb_cv1_se,msb_cv2_5,msb_cv2_5_se,msb_cv5,msb_cv5_se,msb_cv10,msb_cv10_se,mzt_cv1,mzt_cv1_se,mzt_cv2_5,mzt_cv2_5_se,mzt_cv5,mzt_cv5_se,mzt_cv10,mzt_cv10_se,pt_cv1,pt_cv1_se,pt_cv2_5,pt_cv2_5_se,pt_cv5,pt_cv5_se,pt_cv10,pt_cv10_se,mpt_cv1,mpt_cv1_se,mpt_cv2_5,mpt_cv2_5_se,mpt_cv5,mpt_cv5_se,mpt_cv10,mpt_cv10_se
T30_m0_lambdas_,30,0,const,-7.20477999,0.5,0,0.039452266,0,0,4.34E-10,-20,,,,,,-15.41079461,0.066222888,-12.6841621,0.044701318,-10.57818736,0.025528473,-8.373164379,0.02850985,0.174840499,0.000377514,0.19179598,0.000340442,0.208886917,0.000266865,0.232766178,0.000293684,-2.726565094,0.00633274,-2.465185111,0.004616378,-2.241386171,0.003428234,-1.980498353,0.003529989,1.887739854,0.017854754,2.332718766,0.022901237,2.840788101,0.029021414,3.64885426,0.034331937,1.840775175,0.017689144,2.229053043,0.021868374,2.6684053,0.02719019,3.356851843,0.032523304
T30_m1_lambdas_0.15,30,1,const,-9.359848485,0.5,0.007069079,0.133921739,0,0,3.01E-11,50254160,0.15,,,,,-18.84179635,0.31773767,-15.92778454,0.18090168,-13.89040232,0.126930833,-11.65239267,0.100412637,0.158078509,0.001497619,0.172861355,0.001370348,0.183864292,0.000919358,0.199768999,0.000988854,-3.025385698,0.026269881,-2.774470413,0.01629185,-2.576059393,0.014387652,-2.350715032,0.009823561,2.74106531,0.037041577,3.241311027,0.04848692,3.88276953,0.039685555,4.717459908,0.045571082,2.481864323,0.040362232,2.948055039,0.03853391,3.380088558,0.03645346,4.023917053,0.030127438
T30_m1_lambdas_0.267,30,1,const,-9.063253012,0.5,0.007069344,0.106491985,0,0,1.22E-10,50258489,0.267,,,,,-18.85477217,0.294540429,-16.20510009,0.194485107,-14.09142787,0.132343413,-11.88941865,0.104541485,0.160247194,0.001138043,0.170810737,0.000857502,0.182748493,0.000745963,0.197755444,0.000847471,-3.027907618,0.022221991,-2.799684382,0.021307937,-2.60517042,0.012491901,-2.381711882,0.010256479,2.572093196,0.039951074,3.079294349,0.046508698,3.641652772,0.038240572,4.45436914,0.04343055,2.341474077,0.035864437,2.725453952,0.033546421,3.119061449,0.031700695,3.704783737,0.031333427
T30_m1_lambdas_0.383,30,1,const,-8.997175141,0.5,0.007070968,0.099873839,0,0,5.56E-11,50262781,0.383,,,,,-18.63260866,0.331390329,-16.04815421,0.196603986,-13.92545216,0.119411498,-11.8294656,0.092401983,0.158965809,0.001303596,0.172266977,0.001073216,0.18347436,0.000649479,0.197578642,0.000756079,-2.999640625,0.025825752,-2.789182886,0.018840334,-2.592551473,0.012702095,-2.37807579,0.010314047,2.537678201,0.049259332,3.060679112,0.033939156,3.600961891,0.039971899,4.381124438,0.035235268,2.339173082,0.039231599,2.719557222,0.040863805,3.085714391,0.03035903,3.662091995,0.032365564
T30_m1_lambdas_0.5,30,1,const,-8.538011696,0.5,0.007069905,0.103378184,0,0,1.18E-10,50267110,0.5,,,,,-18.68707843,0.288063211,-15.80420319,0.144304833,-13.92227717,0.131881853,-11.674127,0.094876883,0.159882077,0.001031194,0.172990252,0.000857505,0.18368482,0.000764878,0.199235117,0.000785882,-3.016034368,0.025275827,-2.767902077,0.011836548,-2.581751031,0.013745685,-2.355384794,0.009275325,2.338959538,0.02814336,2.756247567,0.037546028,3.291699031,0.042022384,4.009698375,0.03512042,2.10929369,0.03570065,2.455543036,0.023756024,2.834018966,0.030905506,3.379025952,0.026739422
T30_m1_lambdas_0.617,30,1,const,-8.677777778,0.5,0.007068705,0.1309457,0,0,1.63E-10,50271439,0.617,,,,,-18.15999318,0.261382116,-15.84765242,0.211793237,-13.81057452,0.119702077,-11.73037483,0.101113556,0.161303053,0.001097906,0.172414959,0.000907634,0.183856241,0.000779063,0.198749271,0.000877515,-2.968286329,0.023248055,-2.754060766,0.018827903,-2.569125153,0.013194005,-2.358807071,0.00885899,2.370403423,0.03954381,2.848604519,0.040788387,3.382291496,0.039191594,4.180484731,0.039536948,2.215731917,0.024807812,2.576914265,0.034628226,2.956018877,0.030501918,3.473148972,0.025690116
T30_m1_lambdas_0.733,30,1,const,-8.568027211,0.5,0.00706963,0.120256255,0,0,9.46E-11,50275731,0.733,,,,,-17.61956987,0.252596896,-15.30239368,0.170290564,-13.33116487,0.121096399,-11.21580999,0.079914897,0.163799423,0.001085754,0.174858602,0.000850807,0.187810004,0.000713757,0.202281533,0.000782242,-2.916358635,0.023903137,-2.697372431,0.016749932,-2.515315938,0.011841683,-2.308892798,0.011535598,2.460261817,0.039434514,2.889385978,0.042116252,3.43780849,0.045998619,4.173204058,0.038271297,2.239163938,0.03162867,2.618026492,0.028702594,2.999221688,0.026718085,3.520298559,0.029518132
T30_m1_lambdas_0.85,30,1,const,-7.891891892,0.5,0.007067785,0.09555497,0,0,1.78E-10,50280060,0.85,,,,,-16.91530148,0.223401345,-14.66998674,0.1655937,-12.76145322,0.133346283,-10.66241031,0.0910108,0.165582719,0.001261741,0.178047729,0.000881564,0.190429797,0.000979668,0.207604109,0.001001171,-2.861709841,0.01875961,-2.640702091,0.018141049,-2.461662045,0.013777235,-2.239979847,0.00991627,2.132451021,0.039050883,2.5551983,0.043070697,3.031441723,0.034707443,3.6929528,0.039832544,2.009677027,0.026392061,2.323770188,0.02149439,2.67230814,0.026444172,3.198719909,0.029949796
T30_m2_lambdas_0.15_0.383,30,2,const,-10.75862069,0.5,0.007069167,0.152393703,0,0,7.20E-11,50786406,0.15,0.383,,,,-21.19937846,0.224134708,-18.80624489,0.140503843,-16.8645775,0.130613693,-14.76095605,0.087053222,0.150837744,0.000862846,0.159079156,0.000619559,0.168522474,0.000694996,0.17908922,0.000554568,-3.209949208,0.018466644,-3.02438955,0.014636268,-2.858101389,0.011008802,-2.666538481,0.009683278,3.305923018,0.042816756,3.819873239,0.04698907,4.39733955,0.037294701,5.157343494,0.047614157,2.922059637,0.031961744,3.279717981,0.027791378,3.623889621,0.029391114,4.166280493,0.030003211
T30_m2_lambdas_0.15_0.5,30,2,const,-10.61788618,0.5,0.007069525,0.14372089,0,0,7.04E-11,50946579,0.15,0.5,,,,-21.36934005,0.286889367,-18.97296393,0.142741194,-17.11499361,0.104120564,-15.12280539,0.084687636,0.14965603,0.000805531,0.158421679,0.000839272,0.166310966,0.000539569,0.177331326,0.000518467,-3.238145875,0.019731224,-3.04201935,0.015578136,-2.876933366,0.00954315,-2.696223344,0.007504408,3.190365847,0.0432681,3.700158962,0.042001385,4.190828266,0.036436688,4.934702185,0.038819111,2.782197878,0.038769022,3.153096646,0.033993843,3.497919714,0.025344422,3.961363487,0.024957089
