currency,iso3,year,xr,iso2,cpi,cpi_us,s_it,p_i,p_us,q,ln_xr
AUD,AUS,1970,0.892857,AU,10.1716958439549,17.8051000777325,0.11332884530701597,2.3196089458107068,2.8794849374796003,0.6732048369759096,-0.11332884530701597
AUD,AUS,1971,0.880499,AU,10.7960455596837,18.5694314826577,0.12726648676486296,2.379179915199068,2.9215167600687066,0.669603331634502,-0.12726648676486296
AUD,AUS,1972,0.838771,AU,11.4464105807065,19.1770749495732,0.1758175537518482,2.437676194451936,2.9537155525891694,0.6918569118890816,-0.1758175537518482
AUD,AUS,1973,0.706155,AU,12.4869928157393,20.3617886272073,0.3479205188435445,2.524687527793634,3.0136600378830294,0.8368930289329399,-0.3479205188435445
AUD,AUS,1974,0.697004,AU,14.4120721988047,22.612744614712,0.3609641293571623,2.668066202504488,3.1185136683394976,0.8114115951921721,-0.3609641293571623
AUD,AUS,1975,0.765317,AU,16.5972911452823,24.6802610650347,0.2674651519019366,2.8092394980273983,3.2060037769810257,0.6642294308555639,-0.2674651519019366
AUD,AUS,1976,0.820806,AU,18.8085321418182,26.0980958211709,0.19746849465082894,2.9343106042136458,3.2618623546238927,0.5250202450610759,-0.19746849465082894
AUD,AUS,1977,0.902521,AU,21.1238298630209,27.7949115401048,0.10256332034775206,3.0504017806094916,3.3248529658173425,0.3770145055556027,-0.10256332034775206
AUD,AUS,1978,0.874107,AU,22.8147722478579,29.9159311887723,0.13455248519071678,3.127408231767975,3.3983911541787712,0.40553540760151296,-0.13455248519071678
AUD,AUS,1979,0.894829,AU,24.8959404650147,33.2828110274678,0.11112264041436018,3.2147047566457045,3.505041078355544,0.40145896212419974,-0.11112264041436018
AUD,AUS,1980,0.878305,AU,27.4193553826422,37.7923663165264,0.12976136525960272,3.3112491648367546,3.632107132932793,0.4506193333556414,-0.12976136525960272
AUD,AUS,1981,0.86997,AU,30.0208109702242,41.6980997956942,0.1392965506866723,3.401890840171688,3.7304555593179023,0.46786126983288634,-0.1392965506866723
AUD,AUS,1982,0.987111,AU,33.4287230358843,44.254788345169,0.012972783865953798,3.5094155015536,3.78996357678979,0.29352085910214365,-0.012972783865953798
AUD,AUS,1983,1.109894,AU,36.7845992450285,45.6764447583299,-0.10426451526876208,3.6050792588034333,3.821582733035403,0.11223895896320757,0.10426451526876208
AUD,AUS,1984,1.13977,AU,38.2414196200022,47.6407764689877,-0.13082648766528512,3.643919211448156,3.863689043031601,0.08894334391816017,0.13082648766528512
AUD,AUS,1985,1.429341,AU,40.8168591528718,49.3299488738723,-0.3572134988919761,3.7090952105916744,3.898531378834656,-0.16777733064899447,0.3572134988919761
AUD,AUS,1986,1.498628,AU,44.5109290849112,50.2662548449057,-0.40455002287869246,3.7957347564318216,3.9173339741315827,-0.2829508051789311,0.40455002287869246
AUD,AUS,1987,1.427254,AU,48.3090482474348,52.1082935307754,-0.35575231845070227,3.8776188774290654,3.9533241209424923,-0.2800470749372752,0.35575231845070227
AUD,AUS,1988,1.278456,AU,51.7950084772319,54.2331348364675,-0.24565309982641784,3.9472937831789756,3.9932920654973416,-0.1996548175080517,0.24565309982641784
AUD,AUS,1989,1.265323,AU,55.6971918586048,56.8509698983363,-0.23532742555518255,4.019929730197432,4.040433280707765,-0.21482387504484945,0.23532742555518255
AUD,AUS,1990,1.280973,AU,59.7814801287815,59.919760489111,-0.2476199454090957,4.090695916147497,4.093006342023255,-0.24530951953333746,0.2476199454090957
AUD,AUS,1991,1.284177,AU,61.6805397100433,62.4573407534626,-0.2501180462345565,4.12196847937962,4.134483775755862,-0.2376027498583153,0.2501180462345565
AUD,AUS,1992,1.363094,AU,62.3048875522264,64.3490609806525,-0.30975711585362503,4.132039874597863,4.164322341560413,-0.2774746488910753,0.30975711585362503
AUD,AUS,1993,1.472756,AU,63.3975018966839,66.2484245218916,-0.3871354754225644,4.149424458406385,4.193411683781927,-0.34314825004702154,0.3871354754225644
AUD,AUS,1994,1.36709,AU,64.6462013281415,67.9758134970225,-0.31268439317519797,4.168929345999566,4.219151958038281,-0.26246178113648355,0.31268439317519797
AUD,AUS,1995,1.34917,AU,67.6378752538607,69.8828203523109,-0.29948958855939317,4.214168110968406,4.246819844387176,-0.2668378551406234,0.29948958855939317
AUD,AUS,1996,1.27826,AU,69.4068620557434,71.9312285175105,-0.24549977814314597,4.239985739508673,4.275710503081537,-0.20977501457028147,0.24549977814314597
AUD,AUS,1997,1.348587,AU,69.5629546369261,73.6127576083459,-0.2990573776456039,4.242232164675518,4.298818347783613,-0.24247119453750887,0.2990573776456039
AUD,AUS,1998,1.592747,AU,70.1612864243969,74.755433058709,-0.4654601984779197,4.250796683477317,4.3142218926891625,-0.40203498926607395,0.4654601984779197
AUD,AUS,1999,1.549954,AU,71.2018761536123,76.391102265249,-0.43822525307141713,4.265519168542846,4.335866226893451,-0.36787819472081207,0.43822525307141713
AUD,AUS,2000,1.726291,AU,74.3756549681352,78.9707207568715,-0.5459751763644578,4.309128670121273,4.36907716043848,-0.48602668604725086,0.5459751763644578
AUD,AUS,2001,1.934431,AU,77.6534867602337,81.2025684592531,-0.6598132263910076,4.352256452131105,4.396946877938964,-0.6151228005831482,0.6598132263910076
AUD,AUS,2002,1.840401,AU,79.9687807343452,82.490466876552,-0.6099834826591679,4.381636317689432,4.412682733652381,-0.5789370666962195,0.6099834826591679
AUD,AUS,2003,1.540934,AU,82.1540056761687,84.3630788186188,-0.43238872608917384,4.408595603807835,4.435129851134964,-0.40585447876204483,0.43238872608917384
AUD,AUS,2004,1.360461,AU,84.0790850592342,86.6216781201727,-0.3078236128986454,4.4317578447211226,4.461550108955697,-0.2780313486640713,0.3078236128986454
AUD,AUS,2005,1.312657,AU,86.3423506710122,89.5605323721102,-0.272053327377473,4.458320215503905,4.494914736019611,-0.23545880686176712,0.272053327377473
AUD,AUS,2006,1.328211,AU,89.4120690137771,92.4497050827274,-0.2838329239754399,4.493255673221874,4.526664767808872,-0.250423829388442,0.2838329239754399
AUD,AUS,2007,1.194885,AU,91.493237230934,95.0869923788515,-0.17804994644303226,4.516265059505557,4.554792181845666,-0.13952282410292316,0.17804994644303226
AUD,AUS,2008,1.196204,AU,95.4734650293526,98.7374773853445,-0.17915320954514974,4.558848355782577,4.592464584452349,-0.14553698087537725,0.17915320954514974
AUD,AUS,2009,1.279068,AU,97.1644149083721,98.3864199710624,-0.24613168771977204,4.576404542669062,4.5889027861100065,-0.23363344427882726,0.24613168771977204
AUD,AUS,2010,1.089508,AU,99.9999999999999,100.0,-0.08572621819338543,4.60517018598809,4.605170185988092,-0.08572621819338355,0.08572621819338543
